,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
35,IR12-3,5.222851276,VB  ,2185547.0,107959.0938,0.2774975,4.966806889,6.993083477,1.341540226,4.248261929,BV  ,2846135.75,545840.9375,0.078537591,4.100983143,4.66597414,3.21645593,0.773,3294,4261.319534,0.6174706052500001,0.806,13562,16826.30273,3.6026112865,1,1,2,IR12,35,0.6099970716133172,3.7257810578200616
36,IR13-1,None,None,0.0,None,None,None,None,0.0,4.26291132,BB  ,299734.8125,64960.61719,0.071536176,4.160016537,4.408254623,1.743732157,0.858,5328,6209.79021,1.5814582314999999,0.886,13554,15297.9684,2.9013999105,1,1,2,IR13,36,1.216545060460161,3.265462182017538
37,IR13-2,None,None,0.0,None,None,None,None,0.0,4.260046005,BB  ,273569.25,58673.01172,0.0721021,4.160150051,4.406681538,1.730147364,0.858,4953,5772.727273,1.24153213575,0.885,13348,15082.48588,3.004407488,1,1,2,IR13,37,1.0348211054542495,3.178253122428789
38,IR13-3,None,None,0.0,None,None,None,None,0.0,4.253757,BB  ,258143.2813,55014.53516,0.072448194,4.15019989,4.401250839,1.722153173,0.854,4633,5425.058548,1.0538520835000003,0.876,13184,15050.22831,2.9610027284999996,1,1,2,IR13,38,0.9251210501144708,3.178015722784027
39,IR14-1,None,None,0.0,None,None,None,None,0.0,4.250600815,BB  ,247068.2656,51866.14844,0.073280036,4.150216579,4.408126354,1.716420525,0.849,3587,4224.970554,0.61411264875,0.885,13456,15204.51977,3.01653196525,1,1,2,IR14,39,0.5930986802500726,3.26658906693529
40,IR14-2,None,None,0.0,None,None,None,None,0.0,4.24937582,BB  ,261754.3438,54986.27734,0.076192506,4.150233269,4.407264233,1.724023551,0.857,3470,4049.008168,0.5754167495,0.9,13763,15292.22222,3.0715300042500004,1,1,2,IR14,40,0.5417949845652688,3.276122897199264
41,IR14-3,None,None,0.0,None,None,None,None,0.0,4.248035908,BB  ,251131.6875,52809.37891,0.0731901,4.150216579,4.407697678,1.718523178,0.824,3141,3811.893204,0.5291669674999999,0.88,13660,15522.72727,3.06388767775,1,1,2,IR14,41,0.499573014024368,3.4067769486948447
42,IR15-1,5.057598114,VB  ,58830760.0,3566712,0.239654616,4.823192596,7.066916466,53.17616005,None,None,0.0,None,None,None,None,0.0,0.747,28123,37647.92503,30.189698250000003,0.86,14284,16609.30233,3.541958903,1,1,2,IR15,42,1.2400282038997892,3.6319920652116555
43,IR15-2,5.040840626,VB  ,57970720.0,3954372,0.218247235,4.824435234,7.125138283,52.11918025,None,None,0.0,None,None,None,None,0.0,0.806,30292,37583.12655,30.150371225,0.865,14109,16310.98266,3.5025616785,1,1,2,IR15,43,1.2620594528505777,3.6116337945369468
44,IR15-3,5.078092098,VB  ,56246852.0,3282585.75,0.253027439,4.835950375,7.020580292,50.04056054,None,None,0.0,None,None,None,None,0.0,0.807,31322,38812.88724,31.105184924999996,0.847,13618,16077.92208,3.30952904875,1,1,2,IR15,44,1.2710260092756736,3.500712983046024
45,IR16-1,5.051152229,VB  ,1851980.0,150544.7969,0.184836626,4.892159462,5.511838436,1.07712364,4.241321564,BB  ,462116.375,100001.3203,0.071622863,4.140333176,4.386935711,1.828742571,0.877,80116,91352.33751,72.11433985,0.844,13295,15752.36967,3.1420917637500003,1,1,2,IR16,45,2.296288090642587,3.4256357708297296
46,IR16-2,5.084109306,BB  ,65669704.0,3976308.25,0.248752847,4.297749996,6.870292187,62.08467887,None,None,0.0,None,None,None,None,0.0,0.888,80005,90095.72072,71.117309375,0.889,25007,28129.35883,13.586857994999999,1,1,2,IR16,46,2.2381051970036197,2.7589860610372754
