variant,ligand,log_g0,log_g0_err,log_ginf,log_ginf_err,log_ec50,log_ec50_err,n,n_err,log_ginf_g0_ratio,log_ginf_g0_ratio_err,ec50_spec,ec50_spec_err,g32_spec,g32_spec_err,log_g32_g0_ratio,log_g32_g0_ratio_err,log_g500,log_g500_err,log_g500_g0_ratio,log_g500_g0_ratio_err
RamR-RS508,1-DIQ,2.32722,0.04125777,4.694565,0.06437637,2.0261,0.077615073,1.916965,0.146295378,2.36652,0.079528108,0.2146975,0.103048525,0.229518676,0.047871785,1.34312887,0.056460224,4.672095535,0.055002223,2.344433592,0.070912176
RamR-RS508,1R-TIQ,2.32722,0.04125777,4.752345,0.13360503,2.491095,0.118016698,1.90953,0.163360248,2.426355,0.141926672,-0.48271,0.126336825,-0.818193366,0.057109014,0.644866858,0.06797321,4.601806254,0.077386339,2.274235603,0.087515483
RamR-RS508,1S-TIQ,2.32722,0.04125777,4.85753,0.053995481,1.990095,0.065363325,1.870395,0.121380982,2.53128,0.069115895,0.2708225,0.096172561,0.589943584,0.044719791,1.583256865,0.052256614,4.837603679,0.047172071,2.51042992,0.063128454
RamR-RS510,1-DIQ,2.05358,0.040752255,4.607825,0.03183313,1.99327,0.039464224,1.95081,0.077130549,2.5541,0.053257503,0.319365,0.069997268,0.623964922,0.042511814,1.564824198,0.045531011,4.589806728,0.02799384,2.53600284,0.050563201
RamR-RS510,1R-TIQ,2.05358,0.040752255,4.544725,0.134029806,2.543675,0.111113785,2.096935,0.190371795,2.492515,0.144691489,-0.5068125,0.112897247,-0.998284131,0.07261925,0.483946232,0.081400386,4.374798669,0.056732795,2.321690299,0.071852172
RamR-RS510,1S-TIQ,2.05358,0.040752255,4.638565,0.032519132,2.07985,0.035722788,2.04344,0.068835694,2.58492,0.053863357,0.19082,0.067636547,0.375860707,0.041159287,1.399690901,0.045173788,4.615265604,0.027865771,2.562084006,0.050620955
RamR-RS511,1-DIQ,0.808292,0.567914409,4.494775,0.076526269,2.32158,0.0603936,2.66898,0.190754958,3.688455,0.576314178,0.189015,0.085586494,0.300529276,0.107723469,1.517641631,0.565412837,4.452974726,0.059926253,3.643586606,0.572981916
RamR-RS511,1R-TIQ,0.808292,0.567914409,4.59264,0.208528451,2.72401,0.114368417,2.636585,0.204611585,3.815995,0.614594981,-0.4147025,0.120169682,-0.904814059,0.147665461,0.687965734,0.49370361,4.249019425,0.079192335,3.438691381,0.573459533
RamR-RS511,1S-TIQ,0.808292,0.567914409,4.701875,0.068252636,2.297795,0.050138377,2.73965,0.164774909,3.909385,0.573021866,0.2272975,0.081506466,0.60991551,0.104464062,1.72817374,0.566325873,4.668282219,0.055917931,3.868251994,0.57111908
RamR-RS512,1-DIQ,2.54952,0.017055946,4.569395,0.043258813,2.181945,0.053325626,1.667515,0.072414506,2.01963,0.047899514,0.1923575,0.078857312,0.158335836,0.021132346,0.912967451,0.024619489,4.513102664,0.031199785,1.964144567,0.036309701
RamR-RS512,1R-TIQ,2.54952,0.017055946,4.644875,0.12432019,2.6563,0.113993528,1.6769,0.088694453,2.094565,0.127022382,-0.5194425,0.118368893,-0.631969319,0.02478926,0.386266239,0.026878405,4.38127652,0.041816787,1.830954178,0.045598699
RamR-RS512,1S-TIQ,2.54952,0.017055946,4.667485,0.030926647,2.08951,0.039977874,1.679735,0.058414687,2.11844,0.036842648,0.33035,0.075432993,0.473888966,0.019396566,1.124143337,0.021927373,4.628388102,0.023977862,2.079240379,0.030423643
RamR-RS513,1-DIQ,1.856505,0.059813405,4.55107,0.03819753,2.14161,0.040963871,2.112035,0.088380795,2.69585,0.072908506,0.1458025,0.054065262,0.328257476,0.033023554,1.349954938,0.064287234,4.522890989,0.031744127,2.666610485,0.068976519
RamR-RS513,1R-TIQ,1.856505,0.059813405,4.47814,0.087473969,2.48444,0.068576623,2.2652,0.124049408,2.624825,0.107634958,-0.368225,0.072370152,-0.882314696,0.045050071,0.543939498,0.063021218,4.353841331,0.047286772,2.498506472,0.076336801
RamR-RS513,1S-TIQ,1.856505,0.059813405,4.61824,0.028345216,2.08921,0.030237073,2.141705,0.066394583,2.762425,0.067173987,0.22517,0.050078647,0.554536578,0.029931742,1.500400093,0.062307418,4.597115477,0.024663258,2.740620981,0.065349347
RamR-RS514,1-DIQ,1.931795,0.048778083,4.625445,0.026450664,2.036775,0.029046795,2.145085,0.066420202,2.692145,0.055903758,0.2133075,0.041830438,0.392113125,0.021823201,1.534152925,0.051691567,4.609281907,0.023637547,2.676110835,0.054481838
RamR-RS514,1R-TIQ,1.931795,0.048778083,4.555965,0.063105068,2.44326,0.053445197,2.10589,0.080822414,2.625685,0.081575338,-0.39847,0.055969959,-0.814725504,0.027300213,0.730401727,0.049674011,4.444936514,0.035795003,2.512769128,0.061359466
RamR-RS514,1S-TIQ,1.931795,0.048778083,4.671065,0.024972848,2.0533,0.027191556,2.12645,0.060587615,2.738165,0.055592034,0.18673,0.039907355,0.422634844,0.020707713,1.555573975,0.050551275,4.653241464,0.022107354,2.719770604,0.054148006
RamR-RS515,1-DIQ,2.039535,0.039746997,4.64043,0.026892427,2.027605,0.030401986,2.04259,0.06417016,2.60143,0.048457048,0.23868,0.04607767,0.349129602,0.02214892,1.509756765,0.043095009,4.622151527,0.023783731,2.583415923,0.046492383
RamR-RS515,1R-TIQ,2.039535,0.039746997,4.630005,0.072744095,2.484795,0.063984358,1.94355,0.082239539,2.59091,0.085574704,-0.4477025,0.067261368,-0.774615472,0.029389539,0.760119356,0.045339848,4.4884407,0.036794862,2.448879733,0.055354538
RamR-RS515,1S-TIQ,2.039535,0.039746997,4.704635,0.026094623,2.047445,0.029481286,1.990685,0.055989579,2.665105,0.048575217,0.20891,0.045467178,0.426649717,0.021642535,1.561251302,0.041843473,4.682981539,0.0228063,2.643477907,0.046495868
RamR-RS516,1-DIQ,1.70864,0.078189094,4.49423,0.018827667,2.08438,0.019371094,2.41076,0.069282171,2.7861,0.080171314,0.2313925,0.030476718,0.389343093,0.029871772,1.389754666,0.07787354,4.480067728,0.016745428,2.771544431,0.079745078
RamR-RS516,1R-TIQ,1.70864,0.078189094,4.44416,0.057196834,2.513645,0.04454521,2.319495,0.102286356,2.738865,0.097944458,-0.4120225,0.046010742,-0.883623832,0.046833157,0.540839069,0.073972586,4.306195763,0.027434072,2.597862276,0.082785215
RamR-RS516,1S-TIQ,1.70864,0.078189094,4.59123,0.016230377,2.118475,0.015671159,2.31577,0.04283351,2.882095,0.080036313,0.18062,0.028696942,0.495982433,0.027951576,1.459168489,0.07748448,4.571917524,0.01427669,2.862661213,0.079529809
